Series ID,Year,Period,Label,Value
CUSR0000SA0,1966,M10,1966 Oct,32.85
CUSR0000SA0,1966,M11,1966 Nov,32.88
CUSR0000SA0,1966,M12,1966 Dec,32.92
CUSR0000SA0,1967,M01,1967 Jan,32.9
CUSR0000SA0,1967,M02,1967 Feb,33
CUSR0000SA0,1967,M03,1967 Mar,33
CUSR0000SA0,1967,M04,1967 Apr,33.1
CUSR0000SA0,1967,M05,1967 May,33.1
CUSR0000SA0,1967,M06,1967 Jun,33.3
CUSR0000SA0,1967,M07,1967 Jul,33.4
CUSR0000SA0,1967,M08,1967 Aug,33.5
CUSR0000SA0,1967,M09,1967 Sep,33.6
CUSR0000SA0,1967,M10,1967 Oct,33.7
CUSR0000SA0,1967,M11,1967 Nov,33.9
CUSR0000SA0,1967,M12,1967 Dec,34
CUSR0000SA0,1968,M01,1968 Jan,34.1
CUSR0000SA0,1968,M02,1968 Feb,34.2
CUSR0000SA0,1968,M03,1968 Mar,34.3
CUSR0000SA0,1968,M04,1968 Apr,34.4
CUSR0000SA0,1968,M05,1968 May,34.5
CUSR0000SA0,1968,M06,1968 Jun,34.7
CUSR0000SA0,1968,M07,1968 Jul,34.9
CUSR0000SA0,1968,M08,1968 Aug,35
CUSR0000SA0,1968,M09,1968 Sep,35.1
CUSR0000SA0,1968,M10,1968 Oct,35.3
CUSR0000SA0,1968,M11,1968 Nov,35.4
CUSR0000SA0,1968,M12,1968 Dec,35.6
CUSR0000SA0,1969,M01,1969 Jan,35.7
CUSR0000SA0,1969,M02,1969 Feb,35.8
CUSR0000SA0,1969,M03,1969 Mar,36.1
CUSR0000SA0,1969,M04,1969 Apr,36.3
CUSR0000SA0,1969,M05,1969 May,36.4
CUSR0000SA0,1969,M06,1969 Jun,36.6
CUSR0000SA0,1969,M07,1969 Jul,36.8
CUSR0000SA0,1969,M08,1969 Aug,36.9
CUSR0000SA0,1969,M09,1969 Sep,37.1
CUSR0000SA0,1969,M10,1969 Oct,37.3
CUSR0000SA0,1969,M11,1969 Nov,37.5
CUSR0000SA0,1969,M12,1969 Dec,37.7
CUSR0000SA0,1970,M01,1970 Jan,37.9
CUSR0000SA0,1970,M02,1970 Feb,38.1
CUSR0000SA0,1970,M03,1970 Mar,38.3
CUSR0000SA0,1970,M04,1970 Apr,38.5
CUSR0000SA0,1970,M05,1970 May,38.6
CUSR0000SA0,1970,M06,1970 Jun,38.8
CUSR0000SA0,1970,M07,1970 Jul,38.9
CUSR0000SA0,1970,M08,1970 Aug,39
CUSR0000SA0,1970,M09,1970 Sep,39.2
CUSR0000SA0,1970,M10,1970 Oct,39.4
CUSR0000SA0,1970,M11,1970 Nov,39.6
CUSR0000SA0,1970,M12,1970 Dec,39.8
CUSR0000SA0,1971,M01,1971 Jan,39.9
CUSR0000SA0,1971,M02,1971 Feb,39.9
CUSR0000SA0,1971,M03,1971 Mar,40
CUSR0000SA0,1971,M04,1971 Apr,40.1
CUSR0000SA0,1971,M05,1971 May,40.3
CUSR0000SA0,1971,M06,1971 Jun,40.5
CUSR0000SA0,1971,M07,1971 Jul,40.6
CUSR0000SA0,1971,M08,1971 Aug,40.7
CUSR0000SA0,1971,M09,1971 Sep,40.8
CUSR0000SA0,1971,M10,1971 Oct,40.9
CUSR0000SA0,1971,M11,1971 Nov,41
CUSR0000SA0,1971,M12,1971 Dec,41.1
CUSR0000SA0,1972,M01,1972 Jan,41.2
CUSR0000SA0,1972,M02,1972 Feb,41.4
CUSR0000SA0,1972,M03,1972 Mar,41.4
CUSR0000SA0,1972,M04,1972 Apr,41.5
CUSR0000SA0,1972,M05,1972 May,41.6
CUSR0000SA0,1972,M06,1972 Jun,41.7
CUSR0000SA0,1972,M07,1972 Jul,41.8
CUSR0000SA0,1972,M08,1972 Aug,41.9
CUSR0000SA0,1972,M09,1972 Sep,42.1
CUSR0000SA0,1972,M10,1972 Oct,42.2
CUSR0000SA0,1972,M11,1972 Nov,42.4
CUSR0000SA0,1972,M12,1972 Dec,42.5
CUSR0000SA0,1973,M01,1973 Jan,42.7
CUSR0000SA0,1973,M02,1973 Feb,43
CUSR0000SA0,1973,M03,1973 Mar,43.4
CUSR0000SA0,1973,M04,1973 Apr,43.7
CUSR0000SA0,1973,M05,1973 May,43.9
CUSR0000SA0,1973,M06,1973 Jun,44.2
CUSR0000SA0,1973,M07,1973 Jul,44.2
CUSR0000SA0,1973,M08,1973 Aug,45
CUSR0000SA0,1973,M09,1973 Sep,45.2
CUSR0000SA0,1973,M10,1973 Oct,45.6
CUSR0000SA0,1973,M11,1973 Nov,45.9
CUSR0000SA0,1973,M12,1973 Dec,46.3
CUSR0000SA0,1974,M01,1974 Jan,46.8
CUSR0000SA0,1974,M02,1974 Feb,47.3
CUSR0000SA0,1974,M03,1974 Mar,47.8
CUSR0000SA0,1974,M04,1974 Apr,48.1
CUSR0000SA0,1974,M05,1974 May,48.6
CUSR0000SA0,1974,M06,1974 Jun,49
CUSR0000SA0,1974,M07,1974 Jul,49.3
CUSR0000SA0,1974,M08,1974 Aug,49.9
CUSR0000SA0,1974,M09,1974 Sep,50.6
CUSR0000SA0,1974,M10,1974 Oct,51
CUSR0000SA0,1974,M11,1974 Nov,51.5
CUSR0000SA0,1974,M12,1974 Dec,51.9
CUSR0000SA0,1975,M01,1975 Jan,52.3
CUSR0000SA0,1975,M02,1975 Feb,52.6
CUSR0000SA0,1975,M03,1975 Mar,52.8
CUSR0000SA0,1975,M04,1975 Apr,53
CUSR0000SA0,1975,M05,1975 May,53.1
CUSR0000SA0,1975,M06,1975 Jun,53.5
CUSR0000SA0,1975,M07,1975 Jul,54
